Root value: 910.502498
Selected action: [0.01 0.   0.  ]
action,value,entropy,dv
[0.,0.,0.],328.797075,114.019132,0.000000
[0.01,0.  ,0.  ],910.502498,0.000000,0.010000
[-0.01,-0.  ,-0.  ],3.808125,0.000000,0.010000
[0.05,0.  ,0.  ],5.559467,0.000000,0.050000
[-0.05,-0.  ,-0.  ],0.000000,0.000000,0.050000
[0.  ,0.01,0.  ],21.772995,0.000000,0.010000
[-0.  ,-0.01,-0.  ],77.366888,0.000000,0.010000
[0.  ,0.05,0.  ],0.000000,0.000000,0.050000
[-0.  ,-0.05,-0.  ],24.275011,0.000000,0.050000
[0.  ,0.  ,0.01],379.337701,241.451680,0.010000
[-0.  ,-0.  ,-0.01],459.551832,309.603389,0.010000
[0.  ,0.  ,0.05],0.750309,-0.657708,0.050000
[-0.  ,-0.  ,-0.05],99.965810,63.171274,0.050000
