time,state,action,reward,next_state
0.0,"[6.610129688495031e-05, -5.916261301929951e-05, 8.578317871866225e-05, 0.0002716506035084186, 8.814506119273587e-05, 1.0212142336520394e-05]","[0.01, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.70955471e-03  5.16723614e-05 -1.05576831e-03
  8.84291756e-05  7.35666788e-06]"
30.0,"[0.0, -0.0027095547095366797, 5.167236136444325e-05, -0.0010557683102727358, 8.842917562336949e-05, 7.356667883205085e-06]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.70955471e-03  1.75075051e-05 -1.05688705e-03
  8.86208109e-05  4.49349983e-06]"
60.0,"[0.0, -0.00270955470953668, 1.750750509511578e-05, -0.0010568870541219008, 8.862081089128554e-05, 4.493499832370247e-06]","[-0.01, -0.0, -0.0]",182.8399378453487,"[ 0.00000000e+00 -5.91626130e-05  2.61740121e-05  2.67602597e-04
  8.87197666e-05  1.62563248e-06]"
90.0,"[0.0, -5.916261301930002e-05, 2.617401209294243e-05, 0.0002676025974468664, 8.871976658447071e-05, 1.6256324829245193e-06]","[0.0, 0.01, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.68381935e-03  1.80916997e-04
  8.87259392e-05 -1.24393495e-06]"
120.0,"[0.0, -5.9162613019300876e-05, 0.0026838193538557707, 0.00018091699696520775, 8.872593921513846e-05, -1.2439349517006476e-06]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.68826586e-03  9.40421936e-05
  8.86393223e-05 -4.11220148e-06]"
150.0,"[0.0, -5.9162613019301744e-05, 0.0026882658629196355, 9.404219362959534e-05, 8.863932232795646e-05, -4.1122014801260525e-06]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.68990099e-03  7.06904104e-06
  8.84600065e-05 -6.97616747e-06]"
180.0,"[0.0, -5.916261301930261e-05, 0.0026899009856462142, 7.0690410414236746e-06, 8.846000650679755e-05, -6.976167471459178e-06]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.68872301e-03 -7.99115043e-05
  8.81881793e-05 -9.83283779e-06]"
210.0,"[0.0, -5.916261301930261e-05, 0.002688723012025438, -7.991150434434132e-05, 8.818817928000732e-05, -9.832837792305838e-06]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.68473317e-03 -1.66808478e-04
  8.78241249e-05 -1.26792249e-05]"
240.0,"[0.0, -5.916261301930261e-05, 0.0026847331739811987, -0.00016680847834135175, 8.782412492428698e-05, -1.2679224939078337e-05]","[-0.0, -0.0, -0.01]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.67793564e-03 -2.53531004e-04
 -1.23713488e-03  2.73373204e-05]"
270.0,"[0.0, -5.916261301930348e-05, 0.0026779356440830037, -0.0002535310041621528, -0.001237134879595793, 2.733732043996778e-05]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.91626130e-05  2.66833753e-03 -3.39988387e-04
 -1.23560404e-03  6.73252765e-05]"
