time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",818.6242171712189,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]",5545.177444479563,4726.553177308344,818.6242671712189,0.05,4549.609440342231,500,3,"[3337.478853569716, 3868.3176913286998, 2826.5991394410185, 4549.609440342231, 3097.8566334470547, 2686.0371697981936, 3111.4925476137914, 3151.139416410821, 2935.3294914963813, 3927.1959756583346, 2647.760312897632, 3261.760502015093, 952.2255987009751]","[1, 1, 1, 488, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30.0,1,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1708.2038533239488,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]",4726.553177308344,3018.349273984395,1708.203903323949,0.05,4167.096232914941,500,3,"[3827.7071876930977, 3719.2242804123925, 3752.586672210873, 4167.096232914941, 3827.815043204374, 3808.5534218600515, 3923.1079139323374, 3663.4295919817077, 3685.333893476467, 3823.3961422285247, 3888.297600893875, 3832.305225016102, 3897.4914888679764]","[2, 1, 1, 483, 1, 1, 2, 1, 1, 1, 4, 1, 1]"
60.0,2,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2241.889635438339,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]",3018.349273984395,776.4595885460556,2241.8896854383393,0.05,2732.4357194068866,500,12,"[2626.556075378351, 2570.1046905363464, 2601.2978995226363, 2621.2867312871476, 2544.241354416731, 2619.395242268243, 2601.878709447472, 2613.29653444891, 2579.2283114216643, 2547.6980009405097, 2578.4653842191983, 2470.638313969766, 2732.4357194068866]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 487]"
90.0,3,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[0.05, 0.0, 0.0]",312.55662585191203,"[2.435232174321909e-06, -2.7956852321605652e-05, -1.1730423679844837e-05, 3.9817309834860815e-06, -9.51183310521831e-06, -3.250728261778727e-06]",776.4595885460556,463.90291269414354,312.556675851912,0.05,547.3182657226596,500,3,"[468.53458936372834, 453.27819748688574, 488.53223586558545, 547.3182657226596, 404.35384603818784, 484.79675764417334, 473.7415305063787, 433.686841311576, 463.31269328048245, 407.9490528576033, 474.0882449149609, 461.8451074157159, 487.9686160173075]","[2, 1, 3, 472, 1, 5, 1, 1, 1, 1, 3, 1, 8]"
120.0,4,"[2.435232174321909e-06, -2.7956852321605652e-05, -1.1730423679844837e-05, 3.9817309834860815e-06, -9.51183310521831e-06, -3.250728261778727e-06]","[-0.0, -0.01, -0.0]",75.32069555977708,"[-9.21098505918833e-06, -2.3189764666734203e-05, -1.1937479412070988e-05, -7.385426166395442e-06, -9.86285323656624e-06, 1.9407032971087466e-06]",463.90291269414354,388.58220713436646,75.32070555977708,0.01,264.11477188917513,500,6,"[191.41571916794422, 163.14068355049173, 196.2727397056007, 200.54582877174582, 187.79497790322426, 203.80611491108152, 264.11477188917513, 190.040892888216, 179.3315882052445, 202.6297992588946, 174.5977799638651, 140.44058812852586, 199.91500706529848]","[1, 1, 2, 1, 1, 4, 477, 1, 2, 7, 1, 1, 1]"
150.0,5,"[-9.21098505918833e-06, -2.3189764666734203e-05, -1.1937479412070988e-05, -7.385426166395442e-06, -9.86285323656624e-06, 1.9407032971087466e-06]","[-0.0, -0.0, -0.05]",66.63242300775475,"[-1.384993613592698e-05, -1.2600936901705588e-05, -4.914028173860329e-06, -1.3149154401686985e-05, -1.4110673025080703e-05, 5.545359456326251e-06]",388.58220713436646,321.9497341266117,66.63247300775475,0.05,213.77510098098588,500,12,"[131.26890474913642, 134.52481764205388, 128.45340072860546, 155.54451064528212, 158.05327573301992, 164.41387723091287, 148.91643007502483, 135.0029080166451, 73.86724320441368, 164.07841371409748, 166.24235178481655, 110.99396335510548, 213.77510098098588]","[1, 1, 1, 2, 1, 5, 1, 1, 1, 4, 2, 1, 479]"
180.0,6,"[-1.384993613592698e-05, -1.2600936901705588e-05, -4.914028173860329e-06, -1.3149154401686985e-05, -1.4110673025080703e-05, 5.545359456326251e-06]","[0.0, 0.05, 0.0]",94.31083663984064,"[6.866411047088162e-07, -1.182629804085121e-05, 6.683402540589219e-06, -8.34767274029946e-07, -9.447521576052577e-06, 1.1857758674835146e-05]",321.9497341266117,227.63884748677106,94.31088663984065,0.05,164.97860521241293,500,7,"[90.9448737725796, 105.98050415418795, 89.69505978593547, 123.93978021623953, 94.4820176604955, 133.35306603498273, 96.7038066517492, 164.97860521241293, 101.21484744965623, 91.90936097529581, 108.50769706405133, 93.82670253231511, 97.73395918333964]","[1, 1, 1, 1, 1, 1, 1, 488, 1, 1, 1, 1, 1]"
210.0,7,"[6.866411047088162e-07, -1.182629804085121e-05, 6.683402540589219e-06, -8.34767274029946e-07, -9.447521576052577e-06, 1.1857758674835146e-05]","[-0.05, -0.0, -0.0]",43.739105422213,"[4.366199180758774e-06, -3.2725964872928683e-06, -1.5814539500874958e-07, 4.558372662217308e-06, -2.2529143502455576e-06, 1.4992881032378823e-05]",227.63884748677106,183.89969206455805,43.739155422213,0.05,85.08528856688756,500,4,"[65.21181424814826, 66.24555828106786, 67.81468681532822, 57.84005877004893, 85.08528856688756, 63.614257945675085, 67.65821653401761, 50.7760314221995, 61.78829611514067, 61.2948007321766, 70.68441528062425, 60.07269130706625, 56.41752555610616]","[1, 1, 1, 1, 483, 1, 3, 1, 1, 1, 4, 1, 1]"
240.0,8,"[4.366199180758774e-06, -3.2725964872928683e-06, -1.5814539500874958e-07, 4.558372662217308e-06, -2.2529143502455576e-06, 1.4992881032378823e-05]","[-0.0, -0.01, -0.0]",11.142366983066498,"[5.586717278651449e-07, -5.0654981722584685e-06, -3.028005519252293e-06, 1.4903003530442486e-06, 5.545359456326247e-06, 1.4110673025080703e-05]",183.89969206455805,172.75731508149156,11.142376983066498,0.01,49.77301052976814,500,6,"[26.902486547015723, 30.90611933781714, 22.991310820195352, 29.795913856610525, 26.194999442558753, 25.664220853477474, 49.77301052976814, 16.6319588830161, 17.340101019892803, 28.18748112222288, 26.836270756857434, 29.62197940109602, 28.985560590313167]","[1, 5, 1, 1, 2, 1, 480, 1, 1, 1, 2, 1, 3]"
270.0,9,"[5.586717278651449e-07, -5.0654981722584685e-06, -3.028005519252293e-06, 1.4903003530442486e-06, 5.545359456326247e-06, 1.4110673025080703e-05]","[0.05, 0.0, 0.0]",8.318859965687112,"[-1.102815462684364e-06, -1.5655299658981353e-05, 2.8417114485867413e-06, -2.115566827453241e-06, 1.1857758674835146e-05, 9.44752157605258e-06]",172.75731508149156,164.43840511580444,8.318909965687112,0.05,43.07989306564779,500,3,"[28.369211545297237, 28.05024763297031, 24.38389359600786, 43.07989306564779, 26.504518711713132, 28.878454196153807, 28.001235827391767, 18.832352036572686, 9.016850525652321, 19.09018565298983, 25.48338122562241, 19.894926824440823, 27.927308214221153]","[1, 1, 1, 481, 1, 6, 2, 1, 1, 1, 1, 1, 2]"
