time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.0]",0.385463284557897,1425.635009765625,"[0.0, 2.7867034163064626e-05, 1.478834344137502e-05, 7.867187807846394e-07, 8.010432294820347e-06, 6.555810252547063e-07]","[0.0, 2.7867034163064626e-05, 1.478834344137502e-05, 7.867187807846394e-07, 8.010432294820347e-06, 6.555810252547063e-07]"
120.0,2,"[0.0, 0.05, 0.0]",0.07667053527744706,1131.7779541015625,"[0.0, 2.7867034163064626e-05, 1.478834344137502e-05, 7.867187807846394e-07, 8.010432294820347e-06, 6.555810252547063e-07]","[1.32519604825869e-05, 2.5293083924473223e-05, 2.5314231879267596e-05, 8.837813689247973e-06, 8.010432294820347e-06, 6.555810252547063e-07]"
240.0,3,"[0.0, 0.0, 0.01]",0.08103232657894519,920.5963134765625,"[1.32519604825869e-05, 2.5293083924473223e-05, 2.5314231879267596e-05, 8.837813689247973e-06, 8.010432294820347e-06, 6.555810252547063e-07]","[1.32519604825869e-05, 2.2721697948631915e-05, 2.5314231879267596e-05, 8.837813689247973e-06, 8.950366808790315e-06, 1.589747860337439e-06]"
360.0,4,"[0.05, 0.0, 0.0]",-0.003901992808130486,813.6557006835938,"[1.32519604825869e-05, 2.2721697948631915e-05, 2.5314231879267596e-05, 8.837813689247973e-06, 8.950366808790315e-06, 1.589747860337439e-06]","[1.32519604825869e-05, 6.898351490203709e-06, 3.0552298826932066e-05, 4.7799486336064945e-06, 8.950366808790315e-06, 1.589747860337439e-06]"
480.0,5,"[-0.01, -0.0, -0.0]",0.01693438695095273,751.171875,"[1.32519604825869e-05, 6.898351490203709e-06, 3.0552298826932066e-05, 4.7799486336064945e-06, 8.950366808790315e-06, 1.589747860337439e-06]","[1.32519604825869e-05, 6.977357610879783e-06, 2.9408745469339223e-05, 5.4495980080246155e-06, 8.950366808790315e-06, 1.589747860337439e-06]"
600.0,6,"[0.0, 0.0, 0.01]",0.00378721419927492,719.1875610351562,"[1.32519604825869e-05, 6.977357610879783e-06, 2.9408745469339223e-05, 5.4495980080246155e-06, 8.950366808790315e-06, 1.589747860337439e-06]","[1.32519604825869e-05, 4.405971635038477e-06, 2.9408745469339223e-05, 5.4495980080246155e-06, 9.466902087554595e-06, 2.8101313542082613e-06]"
720.0,7,"[0.05, 0.0, 0.0]",-0.0245873788783323,660.2340087890625,"[1.32519604825869e-05, 4.405971635038477e-06, 2.9408745469339223e-05, 5.4495980080246155e-06, 9.466902087554595e-06, 2.8101313542082613e-06]","[1.32519604825869e-05, -1.1417374823389727e-05, 3.5792844948824814e-05, 3.6756509980936494e-06, 9.466902087554595e-06, 2.8101313542082613e-06]"
840.0,8,"[-0.05, -0.0, -0.0]",-0.03504646700383357,625.5440063476562,"[1.32519604825869e-05, -1.1417374823389727e-05, 3.5792844948824814e-05, 3.6756509980936494e-06, 9.466902087554595e-06, 2.8101313542082613e-06]","[1.32519604825869e-05, -7.368003166441339e-07, 2.9233247652229703e-05, 4.611224332746436e-06, 9.466902087554595e-06, 2.8101313542082613e-06]"
960.0,9,"[-0.0, -0.0, -0.05]",-0.03564977980174738,592.2536010742188,"[1.32519604825869e-05, -7.368003166441339e-07, 2.9233247652229703e-05, 4.611224332746436e-06, 9.466902087554595e-06, 2.8101313542082613e-06]","[1.32519604825869e-05, -3.3081862924854403e-06, 2.9233247652229703e-05, 4.611224332746436e-06, 9.385336721871845e-06, -3.815346836015615e-06]"
1080.0,10,"[-0.0, -0.05, -0.0]",-0.035346452722808466,558.259521484375,"[1.32519604825869e-05, -3.3081862924854403e-06, 2.9233247652229703e-05, 4.611224332746436e-06, 9.385336721871845e-06, -3.815346836015615e-06]","[0.0, -3.289928576597002e-06, 3.0780858923848956e-05, -8.550058126953372e-06, 9.385336721871845e-06, -3.815346836015615e-06]"
1200.0,11,"[-0.0, -0.0, -0.01]",0.00763948651874387,517.3385009765625,"[0.0, -3.289928576597002e-06, 3.0780858923848956e-05, -8.550058126953372e-06, 9.385336721871845e-06, -3.815346836015615e-06]","[0.0, -3.289928576597002e-06, 3.0780858923848956e-05, -8.550058126953372e-06, 9.708585848096583e-06, -5.100513972506193e-06]"
1320.0,12,"[0.05, 0.0, 0.0]",-0.03594737131791341,484.73846435546875,"[0.0, -3.289928576597002e-06, 3.0780858923848956e-05, -8.550058126953372e-06, 9.708585848096583e-06, -5.100513972506193e-06]","[0.0, -1.65418890591839e-05, 3.6944507415420564e-05, -6.118381456349685e-06, 9.708585848096583e-06, -5.100513972506193e-06]"
1440.0,13,"[0.0, 0.0, 0.0]",0.014641313163937433,450.77276611328125,"[0.0, -1.65418890591839e-05, 3.6944507415420564e-05, -6.118381456349685e-06, 9.708585848096583e-06, -5.100513972506193e-06]","[0.0, -1.65418890591839e-05, 3.6944507415420564e-05, -6.118381456349685e-06, 9.708585848096583e-06, -5.100513972506193e-06]"
1560.0,14,"[-0.01, -0.0, -0.0]",0.009721587890027477,405.0215759277344,"[0.0, -1.65418890591839e-05, 3.6944507415420564e-05, -6.118381456349685e-06, 9.708585848096583e-06, -5.100513972506193e-06]","[0.0, -1.389149696266652e-05, 3.5877232221786304e-05, -6.90391836023989e-06, 9.708585848096583e-06, -5.100513972506193e-06]"
1680.0,15,"[-0.05, -0.0, -0.0]",-0.03206582921135802,363.41693115234375,"[0.0, -1.389149696266652e-05, 3.5877232221786304e-05, -6.90391836023989e-06, 9.708585848096583e-06, -5.100513972506193e-06]","[0.0, -6.395364800796208e-07, 3.109211709892928e-05, -1.1487180017511514e-05, 9.708585848096583e-06, -5.100513972506193e-06]"
1800.0,16,"[-0.05, -0.0, -0.0]",-0.03415802043733614,326.6658630371094,"[0.0, -6.395364800796208e-07, 3.109211709892928e-05, -1.1487180017511514e-05, 9.708585848096583e-06, -5.100513972506193e-06]","[0.0, 1.2612424002507279e-05, 2.693822651039851e-05, -1.6649428281255393e-05, 9.708585848096583e-06, -5.100513972506193e-06]"
1920.0,17,"[-0.0, -0.01, -0.0]",0.003747367823955898,294.77398681640625,"[0.0, 1.2612424002507279e-05, 2.693822651039851e-05, -1.6649428281255393e-05, 9.708585848096583e-06, -5.100513972506193e-06]","[-2.65039209651738e-06, 1.3130202273002104e-05, 2.9200214085771553e-05, -1.803072856509659e-05, 9.708585848096583e-06, -5.100513972506193e-06]"
2040.0,18,"[-0.0, -0.0, -0.01]",0.0025520028743062466,265.6551818847656,"[-2.65039209651738e-06, 1.3130202273002104e-05, 2.9200214085771553e-05, -1.803072856509659e-05, 9.708585848096583e-06, -5.100513972506193e-06]","[-2.65039209651738e-06, 1.364448969111131e-05, 2.9200214085771553e-05, -1.803072856509659e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]"
2160.0,19,"[0.0, 0.05, 0.0]",-0.04103315797244804,244.85342407226562,"[-2.65039209651738e-06, 1.364448969111131e-05, 2.9200214085771553e-05, -1.803072856509659e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]","[1.0601568386069519e-05, 1.1572934390643124e-05, 1.6499701281779167e-05, -1.4247683343628798e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]"
2280.0,20,"[0.0, 0.01, 0.0]",-0.0028296914614519145,228.2193603515625,"[1.0601568386069519e-05, 1.1572934390643124e-05, 1.6499701281779167e-05, -1.4247683343628798e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]","[1.32519604825869e-05, 8.999037063221705e-06, 1.3883219563458749e-05, -1.3825070420285441e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]"
2400.0,21,"[0.05, 0.0, 0.0]",-0.04760662595364255,222.66708374023438,"[1.32519604825869e-05, 8.999037063221705e-06, 1.3883219563458749e-05, -1.3825070420285441e-05, 1.0919223820940946e-05, -5.6394947374948305e-06]","[1.32519604825869e-05, -6.824309395206501e-06, 1.4087105939688207e-05, -7.2022277901454775e-06, 1.0919223820940946e-05, -5.6394947374948305e-06]"
2520.0,22,"[0.0, 0.0, 0.01]",-0.007607809900086497,217.1175537109375,"[1.32519604825869e-05, -6.824309395206501e-06, 1.4087105939688207e-05, -7.2022277901454775e-06, 1.0919223820940946e-05, -5.6394947374948305e-06]","[1.32519604825869e-05, -9.395695371047807e-06, 1.4087105939688207e-05, -7.2022277901454775e-06, 9.600462390317542e-06, -5.769928074569986e-06]"
2640.0,23,"[-0.0, -0.05, -0.0]",-0.04880414831681228,214.34335327148438,"[1.32519604825869e-05, -9.395695371047807e-06, 1.4087105939688207e-05, -7.2022277901454775e-06, 9.600462390317542e-06, -5.769928074569986e-06]","[0.0, -9.38990365165005e-06, 2.6996272088377833e-05, -4.20758491033982e-06, 9.600462390317542e-06, -5.769928074569986e-06]"
2760.0,24,"[0.0, 0.01, 0.0]",-0.009103660457209598,212.26397705078125,"[0.0, -9.38990365165005e-06, 2.6996272088377833e-05, -4.20758491033982e-06, 9.600462390317542e-06, -5.769928074569986e-06]","[2.65039209651738e-06, -9.904845726480613e-06, 2.4513273305720192e-05, -5.1345667389656355e-06, 9.600462390317542e-06, -5.769928074569986e-06]"
2880.0,25,"[-0.0, -0.0, -0.01]",-0.008805102051447682,209.4919891357422,"[2.65039209651738e-06, -9.904845726480613e-06, 2.4513273305720192e-05, -5.1345667389656355e-06, 9.600462390317542e-06, -5.769928074569986e-06]","[2.65039209651738e-06, -1.0419129736942838e-05, 2.4513273305720192e-05, -5.1345667389656355e-06, 1.0771797957724012e-05, -5.150155894774043e-06]"
3000.0,26,"[-0.0, -0.01, -0.0]",-0.009103653879729353,207.41259765625,"[2.65039209651738e-06, -1.0419129736942838e-05, 2.4513273305720192e-05, -5.1345667389656355e-06, 1.0771797957724012e-05, -5.150155894774043e-06]","[0.0, -1.0419496678285358e-05, 2.667646859640225e-05, -3.603173778405623e-06, 1.0771797957724012e-05, -5.150155894774043e-06]"
3120.0,27,"[0.0, 0.05, 0.0]",-0.04940243591981957,206.02633666992188,"[0.0, -1.0419496678285358e-05, 2.667646859640225e-05, -3.603173778405623e-06, 1.0771797957724012e-05, -5.150155894774043e-06]","[1.32519604825869e-05, -1.298650996037192e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.0771797957724012e-05, -5.150155894774043e-06]"
3240.0,28,"[-0.0, -0.0, -0.01]",-0.010297578361205538,206.7166748046875,"[1.32519604825869e-05, -1.298650996037192e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.0771797957724012e-05, -5.150155894774043e-06]","[1.32519604825869e-05, -1.5557895936213226e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.1621497919910192e-05, -4.133222002831577e-06]"
3360.0,29,"[-0.0, -0.0, -0.05]",-0.049999763210711215,206.71612548828125,"[1.32519604825869e-05, -1.5557895936213226e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.1621497919910192e-05, -4.133222002831577e-06]","[1.32519604825869e-05, -1.8129281912054534e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.5178575046701794e-05, 1.4570209679226655e-06]"
